"","state.county","date","cases","deaths","per100k","days_since_case100","days_since_death10"
"2718","Texas-Washington",2020-07-10,349,32,972.632517696895,77,77
"2719","Texas-Webb",2020-07-10,2547,40,920.651215245146,97,87
"2720","Texas-Wharton",2020-07-10,312,1,750.794109153913,22,0
"2721","Texas-Wheeler",2020-07-10,19,0,375.791139240506,0,0
"2722","Texas-Wichita",2020-07-10,585,3,442.41095061635,26,0
"2723","Texas-Wilbarger",2020-07-10,17,0,133.134936173545,0,0
"2724","Texas-Willacy",2020-07-10,256,3,1198.61410244405,18,0
"2725","Texas-Williamson",2020-07-10,3654,51,618.744189748218,93,71
"2726","Texas-Wilson",2020-07-10,173,5,338.750734286274,10,0
"2727","Texas-Winkler",2020-07-10,40,0,499.375780274657,0,0
"2728","Texas-Wise",2020-07-10,174,5,248.628257887517,11,0
"2729","Texas-Wood",2020-07-10,120,5,263.510397681108,4,0
"2730","Texas-Yoakum",2020-07-10,40,0,459.084127166303,0,0
"2731","Texas-Young",2020-07-10,46,1,255.41365907829,0,0
"2732","Texas-Zapata",2020-07-10,66,0,465.477114041893,0,0
"2733","Texas-Zavala",2020-07-10,72,2,608.108108108108,0,0
"2734","Utah-Beaver",2020-07-10,12,0,178.837555886736,0,0
"2735","Utah-Box Elder",2020-07-10,216,1,385.39770902473,21,0
"2736","Utah-Cache",2020-07-10,1605,2,1251.08154245493,44,0
"2737","Utah-Carbon",2020-07-10,19,0,92.8505106778087,0,0
"2738","Utah-Davis",2020-07-10,1723,6,484.695384563451,100,0
"2739","Utah-Duchesne",2020-07-10,20,0,100.310963988364,0,0
"2740","Utah-Emery",2020-07-10,9,0,89.8921294446664,0,0
"2741","Utah-Garfield",2020-07-10,18,0,356.36507622253,0,0
"2742","Utah-Grand",2020-07-10,23,0,235.800697149887,0,0
"2743","Utah-Iron",2020-07-10,360,0,656.467112821167,37,0
"2744","Utah-Juab",2020-07-10,34,0,282.932512274278,0,0
"2745","Utah-Kane",2020-07-10,14,0,177.52979964494,0,0
"2746","Utah-Millard",2020-07-10,83,0,629.360024264483,0,0
"2747","Utah-Morgan",2020-07-10,28,0,230.94688221709,0,0
"2748","Utah-Piute",2020-07-10,4,0,270.453008789723,0,0
"2749","Utah-Rich",2020-07-10,4,0,161.095449053564,0,0
"2750","Utah-Salt Lake",2020-07-10,14148,130,1219.19587189998,110,86
"2751","Utah-San Juan",2020-07-10,451,11,2946.17193624249,69,3
"2752","Utah-Sanpete",2020-07-10,71,0,229.483823006561,0,0
"2753","Utah-Sevier",2020-07-10,59,0,272.895467160037,0,0
"2754","Utah-Summit",2020-07-10,560,1,1328.74599596631,107,0
"2755","Utah-Tooele",2020-07-10,327,0,452.538784096099,53,0
"2756","Utah-Uintah",2020-07-10,41,0,114.736665360721,0,0
"2757","Utah-Unknown",2020-07-10,0,11,0,0,18
"2758","Utah-Utah",2020-07-10,5143,27,808.349116285649,100,67
"2759","Utah-Wasatch",2020-07-10,448,4,1314.12982898712,90,0
"2760","Utah-Washington",2020-07-10,1545,0,870.148009642028,63,0
"2761","Utah-Weber",2020-07-10,1487,14,571.454923466545,89,19
"2762","Vermont-Addison",2020-07-10,68,2,184.898170051935,0,0
"2763","Vermont-Bennington",2020-07-10,74,1,208.62700873978,0,0
"2764","Vermont-Caledonia",2020-07-10,21,0,70.0163371453339,0,0
"2765","Vermont-Chittenden",2020-07-10,645,39,393.835407329613,105,94
"2766","Vermont-Essex",2020-07-10,5,0,81.1293201362973,0,0
"2767","Vermont-Franklin",2020-07-10,110,6,222.663050078944,36,0
"2768","Vermont-Grand Isle",2020-07-10,10,0,138.217000691085,0,0
"2769","Vermont-Lamoille",2020-07-10,37,1,145.887548300607,0,0
"2770","Vermont-Orange",2020-07-10,10,0,34.611657206147,0,0
"2771","Vermont-Orleans",2020-07-10,14,0,51.7808928505382,0,0
"2772","Vermont-Rutland",2020-07-10,75,1,128.885910192298,0,0
"2773","Vermont-Unknown",2020-07-10,5,0,0.801296176695423,0,0
"2774","Vermont-Washington",2020-07-10,42,1,71.9067267030766,0,0
"2775","Vermont-Windham",2020-07-10,99,3,234.474918289044,0,0
"2776","Vermont-Windsor",2020-07-10,62,2,112.600341433293,0,0
"2777","Virgin Islands-Unknown",2020-07-10,167,6,159.866745802301,8,0
"2778","Virginia-Accomack",2020-07-10,1042,14,3224.40896150514,78,52
"2779","Virginia-Albemarle",2020-07-10,520,10,475.624256837099,72,4
"2780","Virginia-Alexandria city",2020-07-10,2439,57,1529.84419298994,95,80
"2781","Virginia-Alleghany",2020-07-10,39,2,262.449528936743,0,0
"2782","Virginia-Amelia",2020-07-10,49,1,372.765310003804,0,0
"2783","Virginia-Amherst",2020-07-10,38,0,120.234140167695,0,0
"2784","Virginia-Appomattox",2020-07-10,46,0,289.108164163158,0,0
"2785","Virginia-Arlington",2020-07-10,2582,133,1090.17826230145,102,88
"2786","Virginia-Augusta",2020-07-10,204,2,269.991264988486,46,0
"2787","Virginia-Bath",2020-07-10,1,0,24.1138172172655,0,0
"2788","Virginia-Bedford",2020-07-10,144,4,182.285403243161,18,0
"2789","Virginia-Bland",2020-07-10,3,0,47.7707006369427,0,0
"2790","Virginia-Botetourt",2020-07-10,151,4,451.838774349921,11,0
"2791","Virginia-Bristol city",2020-07-10,10,0,59.6587519389094,0,0
"2792","Virginia-Brunswick",2020-07-10,123,1,757.809130675867,13,0
"2793","Virginia-Buchanan",2020-07-10,39,0,185.678918301276,0,0
"2794","Virginia-Buckingham",2020-07-10,574,6,3347.32913459296,70,0
"2795","Virginia-Buena Vista city",2020-07-10,18,0,277.863538129052,0,0
"2796","Virginia-Campbell",2020-07-10,56,1,102.031520451854,0,0
"2797","Virginia-Caroline",2020-07-10,135,4,439.381611065907,30,0
"2798","Virginia-Carroll",2020-07-10,244,9,819.039307173307,39,0
"2799","Virginia-Charles City",2020-07-10,41,3,588.826655177366,0,0
"2800","Virginia-Charlotte",2020-07-10,35,0,294.612794612795,0,0
"2801","Virginia-Charlottesville city",2020-07-10,260,7,550.078280370668,44,0
"2802","Virginia-Chesapeake city",2020-07-10,1162,22,474.605346457819,93,57
"2803","Virginia-Chesterfield",2020-07-10,3135,62,888.60040475961,98,78
"2804","Virginia-Clarke",2020-07-10,58,0,396.743963335385,0,0
"2805","Virginia-Colonial Heights city",2020-07-10,152,20,875.071963154865,33,46
"2806","Virginia-Covington city",2020-07-10,5,0,90.2853015529072,0,0
"2807","Virginia-Craig",2020-07-10,9,0,175.404404599493,0,0
"2808","Virginia-Culpeper",2020-07-10,841,12,1598.70734721034,76,14
"2809","Virginia-Cumberland",2020-07-10,59,0,594.039468385018,0,0
"2810","Virginia-Danville city",2020-07-10,104,2,259.71431425432,3,0
"2811","Virginia-Dickenson",2020-07-10,5,0,34.9210783628998,0,0
"2812","Virginia-Dinwiddie",2020-07-10,154,2,539.517937219731,31,0
"2813","Virginia-Emporia city",2020-07-10,147,15,2749.71941638608,25,14
"2814","Virginia-Essex",2020-07-10,63,0,575.18488085456,0,0
"2815","Virginia-Fairfax",2020-07-10,14356,499,1251.03265094132,107,93
"2816","Virginia-Fairfax city",2020-07-10,72,7,299.762687872101,0,0
"2817","Virginia-Falls Church city",2020-07-10,51,7,348.90880481631,0,0
"2818","Virginia-Fauquier",2020-07-10,471,8,661.312515795681,74,0
"2819","Virginia-Floyd",2020-07-10,20,1,126.992189980316,0,0
"2820","Virginia-Fluvanna",2020-07-10,128,8,469.380271360469,29,0
"2821","Virginia-Franklin",2020-07-10,105,1,187.359480389708,5,0
"2822","Virginia-Franklin city",2020-07-10,69,3,866.072549265721,0,0
"2823","Virginia-Frederick",2020-07-10,536,6,600.136598255573,73,0
